hierarchy_id,name
AB.075,Bar
AB.085,Schops
AB.040,Extras
AB.010,Fries
AB.007,PROMOS PAPA´S SHOP
AB.530,PAPITAS
AB.073,Cocteles 2
AB.020,Burgers
AB.050,Drinks 🥤
AB.520,HAMBURGUESAS DE AUTOR 
AB.030,Chicken
BA.200,Elige Tu Bebida
AB.510,ENTRADAS
AB.080,Cerveza de botella
AB.100115,Pollo frito
BA.370,Escoge el sabor de bebida 
AB.100120,Hamburguesas con papas
AB.100110,Papas
AB.410,Burgers🍔
AB.400,Fries 🍟
AB.,Todos los Productos
AB.008,Promociones
BA.260,Elige Tus Papas Grandes
BA.520,Escoge Tus Bebidas🥤
AB.105,Combos🍔🍟💛
BA.325,Elige tus hamburguesas
BA.326,Elige tus bebidas 
AB.070,Promos presenciales  🔥
AB.100130,Extras
BA.330,Elige tus papas grandes 
BA.230,Escoge Tus Burgers
AB.095,COLACIONES
AB.420,Favoritos🔥
BA.510,Escoge Tus Burgers 🍔
AB.006,Otros
AB.072,Cocteles 2*8990
AB.550,VIERNES AUTOR 2*8990
AB.100140,Bebidas
AB.125,Hamburguesas sin papas
BA.310,Dónde Deseas Tus Extras?
BA.530,Escoge Tus Papas Grandes🍟
AB.065,CIGARROS CHICLE
BA.360,Bebidas (04).
AB.090,Botellas 
AB.200240,Burgers
AB.490,Nescafé
AB.150,delivery
AB.280,Postres
AB.135,2 Burgers sin papas 
AB.500,2 Burgers sin papas🍔
BA.750,Elige tus burgers sin papas 
BA.030,Elige tu tamaño favorito
