id,name,capacity
V-90002,Virtual,0
18,T16,4
7,T7,4
16,T14,4
3,T3,4
6,T6,4
5,T5,4
4,T4,4
2,T2,4
V-90001,Virtual,0
15,T13,4
V-90000,Virtual,0
1,T1,4
V-90005,Virtual,0
V-90003,Virtual,0
V-90004,Virtual,0
V-90006,Virtual,0
V-90008,Virtual,0
V-90007,Virtual,0
V-90009,Virtual,0
V-90011,Virtual,0
V-90010,Virtual,0
V-90015,Virtual,0
V-90024,Virtual,0
V-90017,Virtual,0
V-90020,Virtual,0
V-90019,Virtual,0
V-90018,Virtual,0
V-90026,Virtual,0
V-90022,Virtual,0
V-90023,Virtual,0
V-90013,Virtual,0
V-90016,Virtual,0
V-90021,Virtual,0
V-90014,Virtual,0
V-90025,Virtual,0
V-90012,Virtual,0
V-90029,Virtual,0
V-90027,Virtual,0
V-90028,Virtual,0
V-90031,Virtual,0
V-90030,Virtual,0
V-90039,Virtual,0
V-90032,Virtual,0
V-90038,Virtual,0
V-90033,Virtual,0
V-90044,Virtual,0
V-90037,Virtual,0
V-90034,Virtual,0
V-90042,Virtual,0
V-90041,Virtual,0
V-90036,Virtual,0
V-90043,Virtual,0
V-90035,Virtual,0
V-90040,Virtual,0
V-90045,Virtual,0
V-90046,Virtual,0
V-90048,Virtual,0
V-90047,Virtual,0
V-90051,Virtual,0
V-90052,Virtual,0
V-90049,Virtual,0
V-90050,Virtual,0
V-90054,Virtual,0
V-90056,Virtual,0
V-90053,Virtual,0
V-90057,Virtual,0
V-90055,Virtual,0
V-90059,Virtual,0
V-90058,Virtual,0
V-90061,Virtual,0
V-90064,Virtual,0
V-90062,Virtual,0
V-90060,Virtual,0
V-90063,Virtual,0
V-90065,Virtual,0
V-90072,Virtual,0
V-90073,Virtual,0
V-90067,Virtual,0
V-90075,Virtual,0
V-90066,Virtual,0
V-90070,Virtual,0
V-90069,Virtual,0
V-90068,Virtual,0
V-90071,Virtual,0
V-90078,Virtual,0
V-90077,Virtual,0
V-90076,Virtual,0
V-90074,Virtual,0
12,T12,4
13,0,0
10,T10,4
8,T8,4
9,T9,4
14,0,0
20,0,0
11,T11,4
V-90094,Virtual,0
V-90089,Virtual,0
V-90087,Virtual,0
17,T15,4
V-90090,Virtual,0
V-90091,Virtual,0
V-90080,Virtual,0
V-90083,Virtual,0
V-90086,Virtual,0
V-90084,Virtual,0
V-90088,Virtual,0
V-90082,Virtual,0
V-90079,Virtual,0
V-90092,Virtual,0
V-90093,Virtual,0
V-90085,Virtual,0
V-90081,Virtual,0
V-101,Virtual,0
V-1,Virtual,0
V-90104,Virtual,0
V-90100,Virtual,0
V-90102,Virtual,0
V-90109,Virtual,0
V-90108,Virtual,0
V-90101,Virtual,0
V-90106,Virtual,0
V-90095,Virtual,0
V-90107,Virtual,0
V-90111,Virtual,0
V-90110,Virtual,0
V-90112,Virtual,0
V-90097,Virtual,0
V-90113,Virtual,0
V-90103,Virtual,0
V-90096,Virtual,0
V-90099,Virtual,0
V-90098,Virtual,0
V-90105,Virtual,0
V-90116,Virtual,0
V-90117,Virtual,0
V-90119,Virtual,0
V-90118,Virtual,0
V-90120,Virtual,0
V-90114,Virtual,0
V-90115,Virtual,0
V-90122,Virtual,0
V-90121,Virtual,0
V-90124,Virtual,0
V-90123,Virtual,0
27,PYA1,4
28,PYA2,4
29,PYA3,4
26,Rap5,4
19,S1,4
V-2,Virtual,0
31,PYA5,4
30,PYA4,4
21,S2,4
24,TA1,4
36,AF3,4
25,TA2,4
22,S3,4
35,AF2,4
34,AF1,4
32,Rap1,4
23,S4,4
38,AF5,4
37,AF4,4
V-202,Virtual,0
V-102,Virtual,0
V-103,Virtual,0
V-3,Virtual,0
V-501,Virtual,0
V-206,Virtual,0
V-205,Virtual,0
V-203,Virtual,0
V-201,Virtual,0
V-204,Virtual,0
V-502,Virtual,0
V-104,Virtual,0
33,Rap2,4
V-109,Virtual,0
V-114,Virtual,0
V-107,Virtual,0
V-108,Virtual,0
V-110,Virtual,0
V-105,Virtual,0
V-106,Virtual,0
V-112,Virtual,0
V-113,Virtual,0
V-4,Virtual,0
V-111,Virtual,0
V-5,Virtual,0
V-6,Virtual,0
39,AF6,4
42,AF9,4
41,AF8,4
40,AF7,4
V-7,Virtual,0
V-9,Virtual,0
V-8,Virtual,0
V-10,Virtual,0
V-11,Virtual,0
V-12,Virtual,0
V-14,Virtual,0
V-15,Virtual,0
V-13,Virtual,0
44,AF11,4
43,AF10,4
45,AF12,4
49,AF16,4
46,AF13,4
47,AF14,4
48,AF15,4
