fecha,2 SCHOP HEINEKEN,2 hamburguesas con papas + 2 bebidas,2 papas grandes + 2 bebidas,Cheddar,Chelada,Chicken Box S,Hamburguesa Americana,Hamburguesa Clasica,Hamburguesa Clasica con papas promo,Hamburguesa Hot,Hamburguesa Vegetariana,Michelada,Mistral 35,Mistral 40,Mojito tradicional,Only Chicken,Ramazzotti Spritz,Sandy spritz,Schop heineken,Solsticio,beefie compartir,beefie individual,cheese and bacon compartir,cheese and bacon compartir promo,cheese and bacon individual,choclo champiñon compartir,choclo champiñon individual,coca cola,coca cola promo,coca cola sin azucar,coca cola sin azucar promo,fanta promo,mechada compartir,mechada individual,mexa compartir,pollo albahaca compartir,single fries compartir,veggie compartir
2021-08-15,0,4,3,0,0,1,5,5,1,0,0,0,0,0,0,1,0,0,0,0,3,1,4,3,4,1,1,1,4,0,4,0,2,0,2,3,0,4
2021-08-22,0,0,6,0,0,3,4,2,0,0,0,0,0,0,0,2,0,0,0,0,5,1,5,4,1,1,0,3,4,3,3,0,5,0,2,2,0,1
2021-08-29,0,11,7,4,0,23,38,23,8,1,5,0,0,0,0,9,0,0,0,0,6,12,17,4,18,10,5,16,5,5,7,6,5,8,4,8,8,11
2021-09-05,0,20,24,12,0,40,59,26,15,6,9,0,0,0,0,27,0,0,0,0,9,12,33,10,9,16,8,13,11,9,24,24,10,14,3,5,14,24
2021-09-12,0,34,49,18,0,48,59,50,25,11,19,0,0,0,0,23,0,0,0,0,15,14,57,31,26,19,19,38,42,21,51,24,19,20,13,10,17,27
2021-09-19,0,29,30,10,0,25,42,27,17,5,6,0,0,0,0,6,0,0,0,0,9,8,22,17,16,7,1,9,44,8,43,10,15,8,11,6,13,16
2021-09-26,0,35,48,16,0,34,68,33,20,9,27,0,0,0,0,12,0,0,0,0,17,9,38,32,26,4,1,27,58,20,41,21,11,12,10,5,15,24
2021-10-03,0,54,64,14,0,28,69,57,37,6,31,0,0,0,0,34,0,0,0,0,18,14,53,37,27,21,13,24,69,11,63,33,27,16,9,15,16,38
2021-10-10,0,58,64,26,0,36,61,57,39,16,29,0,0,0,0,50,0,0,0,0,12,15,54,46,23,13,8,35,83,16,51,18,22,15,12,11,24,26
2021-10-17,0,37,54,14,0,37,68,66,17,20,13,0,0,0,0,40,0,0,0,0,17,11,47,36,22,23,11,40,79,2,17,0,32,14,13,10,18,32
2021-10-24,0,47,35,24,0,56,44,73,34,22,19,0,0,0,0,37,0,0,0,0,15,16,66,6,28,14,14,42,77,22,64,5,29,20,14,9,28,36
2021-10-31,0,32,31,24,0,29,67,52,24,19,18,0,2,0,10,41,2,13,0,3,28,9,72,0,37,28,14,23,45,17,42,18,22,11,21,12,16,30
