id,name,net_price,hierarchy_id
9050,Hamburguesa Americana🥓,6990.0,AB.410
TOTEATDVYCOST,Costo Delivery,3213.0,AB.
1090,Mexa Grande,5990.0,AB.010
1050,Cheese and bacon Grande,5990.0,AB.010
1920,Pollo albahaca grande ,5990.0,AB.010
1180,Hamburguesa Clasica,6990.0,AB.020
1490,2 Burgers + 2 Bebidas,11399.0,AB.008
50020,Americana P,0.0,AB.008
50050,Hot burger P,0.0,AB.008
60000,Coca cola promos,0.0,AB.008
60010,Coca cola sin azucar promos,0.0,AB.008
1230,Salsa picante,300.0,AB.040
1110,Mechada BBQ Grande,5990.0,AB.010
1020,Beefie Standard,4990.0,AB.010
1080,Mexa Standard,4990.0,AB.010
1170,Choclo & champiñón Grande,5290.0,AB.010
1070,Veggie Grande,5290.0,AB.010
1690,Hamburguesa  Americana,6290.0,AB.020
9150,Beefie.,4490.0,AB.400
mer2,Grande 450g aprox,1000.0,BA.500
9090,Mechada bbq,4490.0,AB.400
1310,Choclo & champiñón,900.0,AB.040
GETJUSTOEX0035,Aparte,0.0,AB.040
1350,Lemon Garlic,300.0,AB.040
9130,Cheese and bacon ,4490.0,AB.400
mer01,Standard 300gr aprox.,0.0,BA.500
7010,Plan perfecto🤩: 2 Burgers + 2 Bebidas !!,12990.0,AB.420
6000,Clásica 🍔,0.0,BA.510
6150,Coca cola sin azucar,0.0,BA.520
6030,Americana 🥓,0.0,BA.510
1000,Single fries Standard,2990.0,AB.010
1220,Chicken Box S,4490.0,AB.030
400000,Coca cola CBS,0.0,AB.030
7000,2 Papas grandes + 2 bebidas 💛!!,11990.0,AB.420
6310,Cheese and bacon ,0.0,BA.530
6330,Chicken curry,0.0,BA.530
6140,Coca cola original,0.0,BA.520
6350,Veggies,0.0,BA.530
6120,Sprite,0.0,BA.520
6110,Jugo Durazno ,0.0,BA.520
1030,Beefie Grande,5290.0,AB.010
1040,Cheese and bacon Standard,4290.0,AB.010
6320,Mechada bbq,0.0,BA.530
6160,Jugo de piña,0.0,BA.520
1360,Honey Mustard,300.0,AB.040
1340,Salsa de la casa,300.0,AB.040
9070,Hamburguesa clásica ,6490.0,AB.410
9160,Choclo champiñón ,4490.0,AB.400
9120,Veggies,4490.0,AB.400
1600,Only Chicken,5990.0,AB.030
6360,Mexa,0.0,BA.530
6300,Beefie,0.0,BA.530
1610,Chicken Box Familiar,12990.0,AB.030
60090,Sprite.,0.0,AB.030
60100,Coca cola original 350ml.,0.0,AB.030
60110,Coca cola sin azucar.,0.0,AB.030
1590,Pollo albahaca,4490.0,AB.400
1460,2 Papas Grandes + 2 Bebidas,11990.0,AB.008
40010,Sabor cheese & bacon ,0.0,AB.008
40040,Sabor chicken curri,0.0,AB.008
9140,Mexa ,4490.0,AB.400
9110,Single fries ,3290.0,AB.400
1280,Bacon,900.0,AB.040
1060,Veggie Standard,4990.0,AB.010
GETJUSTOEX0062,Mechada BBQ,0.0,BA.260
GETJUSTOEX0059,Cheese and bacon,0.0,BA.260
1130,Chicken Curry Grande,5990.0,AB.010
1240,Crema acida,300.0,AB.040
GETJUSTOEX0058,Beefie,0.0,BA.260
1380,Coca Cola sin azúcar,1400.0,AB.050
1290,Pebre,900.0,AB.040
GETJUSTOEX0018,Jugo Durazno Del Valle,0.0,BA.200
60120,Jugo de durazno 300ml.,0.0,BA.360
60130,Jugo de piña 300ml.,0.0,BA.360
1940,Pollo albahaca standard,4990.0,AB.010
GETJUSTOEX0065,Choclo & Champiñón,0.0,BA.260
1260,Beefie,900.0,AB.040
GETJUSTOEX0034,En las papas,0.0,BA.310
6370,Choclo champiñon,0.0,BA.530
6200,Agua con gas 600ml,0.0,BA.520
1010,Single fries Grande,4490.0,AB.010
1270,Cheddar,900.0,AB.040
1100,Mechada BBQ Standard,4990.0,AB.010
400010,Coca  cola sin azucar CBS,0.0,AB.030
6010,Hot burger 🔥,0.0,AB.420
400020,Jugo de durazno CBS,0.0,AB.030
1160,Choclo & champiñón Standard,4990.0,AB.010
1200,Hamburguesa Vegetariana,7990.0,AB.020
1210,Hamburguesa Vegana,7990.0,AB.020
GETJUSTOEX0036,Clásica,0.0,BA.230
500001,Vegetariana P,0.0,BA.230
60080,Fanta.,0.0,BA.360
GETJUSTOEX0033,En la hamburguesa,0.0,BA.310
1370,Coca Cola Original,990.0,AB.050
1390,Fanta,990.0,AB.050
1250uber,Pollo albahaca ,4690.0,AB.100110
uber1600,Only Chicken.,6390.0,AB.100115
