Fecha;Dia semana;Monto total;Efectivo;Tarjeta Credito;Tarjeta Debito;Web Pay;PedidosYa;PedidosYa Vouchers;Rappi;UberEats;Mercat;Transferencia;PedidosYa Efectivo;Uber eats
sábado, 21 de agosto de 2021;Saturday;208954;0;0;41850;93914;73190;0;0;0;0;0;0;0
domingo, 22 de agosto de 2021;Sunday;225100;90550;0;9980;46160;26070;0;0;0;0;0;52340;0
lunes, 23 de agosto de 2021;Monday;225530;43720;0;26240;0;60900;9410;0;0;0;0;15050;70210
martes, 24 de agosto de 2021;Tuesday;88968;0;0;0;28748;60220;0;0;0;0;0;0;0
miércoles, 25 de agosto de 2021;Wednesday;54030;0;0;0;0;13480;0;40550;0;0;0;0;0
jueves, 26 de agosto de 2021;Thursday;317746;71490;0;32250;54939;67920;0;26860;45320;0;0;0;18967
viernes, 27 de agosto de 2021;Friday;562203;61160;0;80580;88019;75480;0;185004;66970;0;0;4990;0
sábado, 28 de agosto de 2021;Saturday;253205;0;0;0;0;49831;4110;158844;40420;0;0;0;0
domingo, 29 de agosto de 2021;Sunday;266733;0;0;10780;45841;21960;0;163702;9580;0;14870;0;0
lunes, 30 de agosto de 2021;Monday;188662;39010;0;15270;41730;16672;0;57820;18160;0;0;0;0
martes, 31 de agosto de 2021;Tuesday;381390;93940;0;71100;0;0;0;77680;123200;0;0;15470;0
miércoles, 1 de septiembre de 2021;Wednesday;240626;47070;0;29540;37386;36560;0;56530;33540;0;0;0;0
jueves, 2 de septiembre de 2021;Thursday;534107;43820;0;22050;76903;94564;3710;185650;70590;0;14070;22750;0
viernes, 3 de septiembre de 2021;Friday;738944;41620;0;47010;151408;118926;0;325460;54520;0;0;0;0
sábado, 4 de septiembre de 2021;Saturday;763239;137142;14574;41230;80593;52190;0;414450;14280;0;0;8780;0
domingo, 5 de septiembre de 2021;Sunday;652673;67440;0;44130;99801;67680;4010;286040;24560;0;0;59012;0
lunes, 6 de septiembre de 2021;Monday;574164;50070;0;24350;100503;61601;0;278440;53210;0;0;5990;0
martes, 7 de septiembre de 2021;Tuesday;543319;44950;0;19860;79549;98850;0;190040;65180;0;10940;33950;0
miércoles, 8 de septiembre de 2021;Wednesday;666343;105010;0;32530;71863;209390;4710;155580;54730;0;4490;28040;0
jueves, 9 de septiembre de 2021;Thursday;804853;61720;0;82450;111317;54621;6730;228080;87740;0;30340;141855;0
viernes, 10 de septiembre de 2021;Friday;1687076;77000;0;136760;358243;226096;0;734240;144760;0;0;9977;0
sábado, 11 de septiembre de 2021;Saturday;822884;57540;0;57720;127932;110730;3490;369922;51210;0;0;44340;0
domingo, 12 de septiembre de 2021;Sunday;781639;55074;0;110000;42089;180022;0;313582;44930;0;11880;24062;0
lunes, 13 de septiembre de 2021;Monday;607489;43580;0;47420;91834;59111;0;308544;8080;0;4490;44430;0
martes, 14 de septiembre de 2021;Tuesday;662421;48760;0;48430;120275;74270;0;256246;63020;0;0;51420;0
miércoles, 15 de septiembre de 2021;Wednesday;235496;39980;0;0;34895;60681;0;59610;18270;0;0;22060;0
jueves, 16 de septiembre de 2021;Thursday;574502;38390;0;47100;160411;54892;0;196239;56600;0;0;20870;0
viernes, 17 de septiembre de 2021;Friday;529056;61960;0;13470;42176;37840;0;184920;131180;0;9580;47930;0
sábado, 18 de septiembre de 2021;Saturday;0;0;0;0;0;0;0;0;0;0;0;0;0
domingo, 19 de septiembre de 2021;Sunday;0;0;0;0;0;0;0;0;0;0;0;0;0
lunes, 20 de septiembre de 2021;Monday;764758;75190;27780;130740;100178;177826;10020;76104;155980;0;0;10940;0
martes, 21 de septiembre de 2021;Tuesday;529803;32720;0;85450;75713;51316;0;126824;143790;0;0;13990;0
miércoles, 22 de septiembre de 2021;Wednesday;336027;43490;13470;18760;65313;77159;0;41042;61920;0;4490;10383;0
jueves, 23 de septiembre de 2021;Thursday;429177;38310;0;40020;92842;93896;0;53396;70070;0;0;40643;0
viernes, 24 de septiembre de 2021;Friday;1339939;75230;0;83110;125125;385597;2010;388741;137980;0;17960;124186;0
sábado, 25 de septiembre de 2021;Saturday;706337;34580;0;71980;35549;176495;8020;218383;93850;0;0;67480;0
domingo, 26 de septiembre de 2021;Sunday;536771;37950;21570;17060;40460;147483;4210;184908;83130;0;0;0;0
lunes, 27 de septiembre de 2021;Monday;484146;18090;0;53620;54596;68052;0;201538;74680;0;0;13570;0
martes, 28 de septiembre de 2021;Tuesday;503104;21110;0;89540;40443;113304;4710;97526;132190;0;0;4281;0
